year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,3,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,318.00,66.00,22.68,0.42,10.98,0.00,31.91,4.00,1.00,3632.00,1584.00,19.00,380.00,0.00,1649.00
2013,3,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,364.00,67.00,29.02,0.00,12.30,0.00,25.68,1.00,0.00,4086.00,1798.00,0.00,615.00,0.00,1673.00
2013,3,US,US Airways Inc.,AUS,Austin  TX: Austin - Bergstrom International,53.00,11.00,4.18,0.00,2.63,0.00,4.18,0.00,0.00,488.00,226.00,0.00,91.00,0.00,171.00
2013,3,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1597.00,269.00,99.26,1.89,50.17,1.50,116.19,5.00,0.00,13071.00,4748.00,183.00,1617.00,89.00,6434.00
2013,3,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,212.00,31.00,13.30,1.00,10.11,0.00,6.59,1.00,0.00,1496.00,694.00,103.00,243.00,0.00,456.00
2013,4,9E,Pinnacle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,200.00,41.00,19.87,1.00,10.75,1.75,7.63,3.00,0.00,2281.00,1437.00,18.00,360.00,30.00,436.00
2013,4,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,641.00,183.00,66.22,10.06,34.75,0.57,71.40,12.00,2.00,10193.00,3084.00,765.00,1522.00,12.00,4810.00
2013,4,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,30.00,4.00,1.00,0.00,2.48,0.00,0.52,0.00,0.00,156.00,33.00,0.00,112.00,0.00,11.00
2013,4,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,210.00,77.00,27.83,0.11,23.71,0.00,25.35,1.00,0.00,4505.00,1626.00,28.00,902.00,0.00,1949.00
2013,4,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,246.00,31.00,11.84,1.04,12.66,0.00,5.46,0.00,0.00,1620.00,653.00,62.00,550.00,0.00,355.00
2013,4,EV,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,143.00,20.00,7.47,0.00,4.03,0.00,8.49,1.00,0.00,1114.00,557.00,0.00,96.00,0.00,461.00
2013,4,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,23.00,9.00,1.06,0.02,6.22,0.00,1.69,0.00,0.00,307.00,30.00,1.00,183.00,0.00,93.00
2013,4,FL,AirTran Airways Corporation,AUS,Austin  TX: Austin - Bergstrom International,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013,4,MQ,American Eagle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013,4,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,333.00,89.00,19.49,0.77,31.06,0.74,36.93,2.00,0.00,4395.00,1067.00,94.00,1034.00,29.00,2171.00
2013,4,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,240.00,57.00,20.56,0.00,12.04,0.00,24.41,1.00,1.00,3623.00,1285.00,0.00,755.00,0.00,1583.00
2013,4,US,US Airways Inc.,AUS,Austin  TX: Austin - Bergstrom International,51.00,8.00,2.07,0.53,3.26,0.00,2.15,0.00,0.00,623.00,97.00,178.00,140.00,0.00,208.00
2013,4,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1586.00,347.00,95.96,3.29,72.84,1.89,173.02,2.00,6.00,15350.00,3859.00,402.00,2457.00,48.00,8584.00
2013,4,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,231.00,52.00,13.86,0.00,21.41,0.00,16.73,2.00,2.00,2442.00,620.00,0.00,705.00,0.00,1117.00
2013,5,9E,Pinnacle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,192.00,41.00,16.62,1.63,12.98,0.00,9.77,0.00,1.00,1956.00,823.00,47.00,418.00,0.00,668.00
2013,5,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,658.00,191.00,66.71,7.65,52.42,0.00,64.22,9.00,2.00,12166.00,3602.00,808.00,2974.00,0.00,4782.00
2013,5,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,5.00,1.80,0.00,3.20,0.00,0.00,0.00,0.00,132.00,71.00,0.00,61.00,0.00,0.00
2013,5,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,237.00,41.00,12.80,2.20,17.27,0.00,8.73,0.00,0.00,2372.00,933.00,82.00,610.00,0.00,747.00
2013,5,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,255.00,42.00,22.11,0.54,10.96,0.00,8.40,0.00,4.00,2811.00,1684.00,23.00,372.00,0.00,732.00
2013,5,EV,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,76.00,5.00,0.21,0.00,1.12,0.00,3.68,0.00,1.00,217.00,10.00,0.00,55.00,0.00,152.00
2013,5,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,9.00,3.10,0.00,4.86,0.00,1.04,0.00,0.00,486.00,206.00,0.00,214.00,0.00,66.00
2013,5,FL,AirTran Airways Corporation,AUS,Austin  TX: Austin - Bergstrom International,13.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,243.00,0.00,0.00,0.00,0.00,243.00
