"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-27","9.17"," 1541"," 1540","0.00","0.0","0.0",,"67","43","  140","  140","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-28","13.65"," 1843"," 1118","0.20","0.0","0.0",,"66","56","  130","  110","0.0","23.0","30.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-29","14.76"," 0016"," 0018","1.67","0.0","0.0",,"67","38","  140","  150","0.0","23.9","32.0","    1","    1","    1",,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-30","12.30"," 0000"," 0000","0.00","0.0","0.0",,"39","34","  330","  330","0.0","19.9","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-31","5.59"," 0016"," 0016","0.00","0.0","0.0",,"45","34","   20","   20","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-01","4.47"," 2141"," 1702","0.01","0.0","0.0",,"49","36","   90","  110","0.0","8.9","15.0","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-02","5.82"," 0844"," 0844","0.00","0.0","0.0",,"59","48","   20","   20","0.0","14.1","16.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-03","12.75"," 1326"," 2051","0.83","0.0","0.0",,"54","47","  100","   80","0.0","23.0","29.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-04","10.29"," 0220"," 0352","0.24","0.0","0.0",,"55","47","  110","   90","0.0","34.9","40.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-05","8.50"," 1735"," 1352","0.00","0.0","0.0",,"60","45","  310","  300","0.0","16.1","21.0","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-06","5.82"," 0903"," 0903","0.00","0.0","0.0",,"63","41","  360","  360","0.0","16.1","17.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-07","9.40"," 2058"," 2317","0.00","0.0","0.0",,"53","38","  110","  130","0.0","15.0","19.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-08","16.33"," 1152"," 1552","0.77","0.0","0.0",,"69","46","  140","  160","0.0","25.9","33.1","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-09","14.76"," 0329"," 0328","0.00","0.0","0.0",,"51","38","  350","  350","0.0","29.1","38.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-10","2.91"," 0919"," 0933","0.01","0.0","0.0",,"48","32","   60","   70","0.0","17.0","21.0",,,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-11","10.51"," 1333"," 2307","1.31","0.0","0.0",,"43","37","   90","   20","0.0","21.9","25.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
