STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/31/2010,5.82,129,128,0,0,0,,36,30,20,10,,16.1,19.9,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/1/2010,1.57,702,804,0.01,0,0,,46,35,40,80,,6.9,8.1,1,,,,1,,,1,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/2/2010,8.05,1432,1429,0,0,0,,54,45,20,30,,17,19.9,1,,,,1,,1,1,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/3/2010,10.51,1558,1600,0.91,0,0,,49,46,60,50,,17,21.9,1,,,,1,,,,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/4/2010,8.05,1744,1630,0.48,0,0,,48,47,20,360,,13,16.1,1,,,,1,,,,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/5/2010,3.8,1443,1345,0,0,0,,59,38,10,350,,15,17.9,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/6/2010,6.93,950,954,0,0,0,,59,31,20,30,,16.1,17.9,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/7/2010,6.71,350,350,0,0,0,,52,41,30,30,,14.1,15,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/8/2010,13.42,1958,2135,0.46,0,0,,68,45,360,360,,29.1,36.9,1,,1,,1,,,,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/9/2010,13.2,532,423,0,0,0,,48,30,10,360,,25.9,33.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/10/2010,3.58,1704,723,0.05,0,0,,40,30,90,350,,12.1,17,,,1,1,1,,,,,,,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/11/2010,8.5,1908,723,0.49,0,0,,42,36,20,110,,17,23.9,1,,,,1,,,,,,1,1,1,,,,,
